loading train-split scenarios per topology to fit signature libraries...
  golden-reference: signature artifact ready in 0.0s (cache_hit=True)
  branched-loop: signature artifact ready in 10.4s (cache_hit=False)
  loop-grid: signature artifact ready in 12.6s (cache_hit=False)
validated topology hashes: 3
processing 9000 scenarios from split=train (0 already done)
  6875/9000 done, 2.12/s
  6900/9000 done, 2.12/s
  6925/9000 done, 2.12/s
  6950/9000 done, 2.12/s
  6975/9000 done, 2.12/s
  7000/9000 done, 2.12/s
  7025/9000 done, 2.12/s
  7050/9000 done, 2.12/s
  7075/9000 done, 2.12/s
  7100/9000 done, 2.12/s
  7125/9000 done, 2.12/s
  7150/9000 done, 2.13/s
  7175/9000 done, 2.13/s
  7200/9000 done, 2.12/s
  7225/9000 done, 2.13/s
  7250/9000 done, 2.13/s
  7275/9000 done, 2.13/s
  7300/9000 done, 2.13/s
  7325/9000 done, 2.13/s
  7350/9000 done, 2.13/s
  7375/9000 done, 2.13/s
  7400/9000 done, 2.13/s
  7425/9000 done, 2.13/s
  7450/9000 done, 2.13/s
  7475/9000 done, 2.13/s
  7500/9000 done, 2.13/s
  7525/9000 done, 2.13/s
  7550/9000 done, 2.13/s
  7575/9000 done, 2.13/s
  7600/9000 done, 2.13/s
  7625/9000 done, 2.13/s
  7650/9000 done, 2.13/s
  7675/9000 done, 2.13/s
  7700/9000 done, 2.13/s
  7725/9000 done, 2.13/s
  7750/9000 done, 2.13/s
  7775/9000 done, 2.13/s
  7800/9000 done, 2.13/s
  7825/9000 done, 2.13/s
  7850/9000 done, 2.13/s
  7875/9000 done, 2.13/s
  7900/9000 done, 2.13/s
  7925/9000 done, 2.13/s
  7950/9000 done, 2.13/s
  7975/9000 done, 2.13/s
  8000/9000 done, 2.13/s
  8025/9000 done, 2.14/s
  8050/9000 done, 2.13/s
  8075/9000 done, 2.14/s
  8100/9000 done, 2.14/s
  8125/9000 done, 2.14/s
  8150/9000 done, 2.14/s
  8175/9000 done, 2.14/s
  8200/9000 done, 2.14/s
  8225/9000 done, 2.14/s
  8250/9000 done, 2.14/s
  8275/9000 done, 2.14/s
  8300/9000 done, 2.14/s
  8325/9000 done, 2.14/s
  8350/9000 done, 2.14/s
  8375/9000 done, 2.14/s
  8400/9000 done, 2.14/s
  8425/9000 done, 2.14/s
  8450/9000 done, 2.14/s
  8475/9000 done, 2.14/s
  8500/9000 done, 2.14/s
  8525/9000 done, 2.14/s
  8550/9000 done, 2.14/s
  8575/9000 done, 2.14/s
  8600/9000 done, 2.14/s
  8625/9000 done, 2.14/s
  8650/9000 done, 2.14/s
  8675/9000 done, 2.14/s
  8700/9000 done, 2.14/s
  8725/9000 done, 2.14/s
  8750/9000 done, 2.14/s
  8775/9000 done, 2.14/s
  8800/9000 done, 2.14/s
  8825/9000 done, 2.14/s
  8850/9000 done, 2.14/s
  8875/9000 done, 2.14/s
  8900/9000 done, 2.14/s
  8925/9000 done, 2.14/s
  8950/9000 done, 2.14/s
  8975/9000 done, 2.14/s
  9000/9000 done, 2.14/s
wrote 9000 new records (0 errors) to data/learning-v2/cycle-b2-trajectories/train.jsonl
report: data/learning-v2/cycle-b2-trajectories/train-report.json
